BNP	SG
40.2772	50.8556
40.0443	50.3102
40.1726	49.6675
39.3837	50.3297
38.9322	49.3753
39.5928	49.6496
39.9302	49.3469
41.0518	50.0185
41.7362	50.1888
42.1259	50.4063
41.9643	50.1131
42.6249	50.6333
41.3607	49.678
41.7029	48.997
42.2352	49.6212
42.7104	49.6402
42.5821	51.182
42.5821	51.182
42.8673	52.8751
41.0613	52.09
41.0613	52.0995
41.8693	52.7616
41.6744	51.986
41.8455	52.6575
41.0566	51.5414
41.0566	51.5414
41.0566	51.5414
40.5433	51.3333
39.9493	50.6523
40.9235	51.74
41.5936	52.0427
42.1782	53.0927
42.8578	53.821
43.2712	54.502
44.0269	55.0979
45.2863	56.1668
45.0439	55.4479
44.5306	54.8331
44.3596	54.3885
42.4918	52.9602
42.3493	53.0643
41.7885	52.667
42.0831	53.4237
41.5746	53.7926
41.2704	52.9129
42.4918	53.8967
43.0336	53.8021
42.6677	53.5845
42.815	54.5399
42.1449	53.5561
41.8217	52.2697
42.758	53.3859
43.7275	54.3507
44.1504	54.9088
44.697	55.533
44.5877	55.306
45.1532	56.2803
45.3196	56.1479
44.9584	55.8925
43.4851	54.171
45.9801	56.2425
45.8138	55.9492
45.4906	55.8452
45.1817	56.2803
45.5762	56.129
44.9489	55.4574
44.4071	55.3533
44.4831	55.2209
44.7493	55.2209
44.8205	55.2871
44.8633	55.5709
44.4546	56.0911
44.0554	57.5572
42.0736	57.0748
41.7504	55.8168
41.7219	56.2898
41.4035	55.552
40.5101	54.2939
40.1346	53.7359
38.9512	52.7332
39.9968	54.3412
40.8047	55.1263
41.0946	54.8615
41.2752	55.0696
40.6954	53.9156
40.6811	53.6034
42.278	55.3155
42.4205	55.5993
42.3445	55.5236
42.2019	54.4926
42.6297	54.5966
42.9528	55.3344
43.9413	56.3371
42.4015	54.6155
42.7199	54.8142
41.8217	54.2561
42.3635	54.1237
42.4681	55.0412
41.2419	54.2656
39.6451	52.7521
39.2792	52.667
39.4645	52.5346
40.1299	53.5845
40.1299	53.5845
40.0158	53.4237
39.9255	53.367
39.4455	52.6481
39.4455	52.6481
39.4455	52.6481
39.4455	52.7238
38.8704	51.8819
38.8134	51.3995
38.2431	50.8887
37.611	49.8861
38.1956	51.0022
37.5017	50.2172
37.5778	49.9901
37.8677	50.1604
38.1718	50.378
38.6423	50.4915
38.419	50.132
37.7631	49.0443
38.3762	49.8766
38.7802	50.4442
40.0871	52.1089
40.2392	52.2603
40.1679	52.213
39.916	51.986
39.398	51.863
39.436	51.9576
38.5568	51.7117
38.4237	51.182
38.457	50.9928
38.918	50.8793
39.6546	51.7873
39.4217	51.5319
39.0083	51.4846
38.6994	50.0469
38.7469	50.3874
38.9512	50.6523
38.7516	50.2266
39.6784	50.7185
38.5615	50.5198
38.3524	50.3496
39.3742	51.059
39.5596	51.2198
39.7497	51.5887
38.7374	49.9145
38.7849	50.6144
38.1433	49.8577
38.8752	50.4631
39.3457	51.2576
38.6851	50.132
39.6451	51.2482
39.6499	50.8604
40.377	51.3617
39.7639	51.3144
39.7734	51.3617
39.512	51.2387
38.6708	50.7942
38.5853	50.5104
38.4332	50.5009
37.0312	48.7132
36.4942	47.8146
37.3259	48.297
36.9932	48.3538
36.3184	47.843
36.8792	48.3538
35.9762	48.0984
35.0067	47.2944
35.3251	48.1362
35.2253	48.0889
35.4772	48.5997
35.6198	48.3254
35.5865	48.0795
36.0237	48.0132
36.3374	48.193
36.1425	47.7957
35.5057	47.6916
35.5532	47.8524
34.9782	47.3511
34.9211	47.7579
35.2301	48.0038
34.9259	47.9943
33.6522	46.8356
33.0867	47.0484
32.3928	46.164
32.198	45.8613
32.1552	45.658
32.4784	46.3012
31.4756	44.8492
32.0031	45.7715
31.4376	45.7053
31.181	45.1803
32.7017	46.8356
33.1675	47.5308
32.9584	47.1667
32.1457	46.1593
32.3168	46.3816
33.2625	47.0815
34.1417	48.1551
33.581	47.1667
33.7568	47.5025
33.4051	47.4363
33.8376	47.2471
33.9707	47.0721
33.4574	47.2376
32.678	46.9066
31.8938	46.4336
32.7208	46.7268
32.3691	46.5897
31.699	47.0579
28.7192	46.0032
28.9901	45.2607
29.0233	45.606
28.9378	45.5397
28.9378	45.1709
28.7905	44.7216
28.0491	43.1845
28.2487	43.2743
27.8305	42.5649
27.6736	42.4703
26.5378	41.7278
26.5568	41.4157
26.8847	42.0258
26.514	41.6285
26.495	41.7373
26.4095	41.7136
26.3619	41.5292
26.2907	41.742
25.6586	40.6306
25.8582	40.9664
24.5845	39.0935
25.093	40.0252
25.3924	40.1151
25.093	39.7036
26.1861	40.2428
26.2812	40.134
25.3877	39.0699
25.2641	37.9726
25.6158	38.5165
26.1766	39.5334
27.379	41.3022
27.6309	41.742
27.5073	41.3826
27.1461	40.938
26.8562	40.9096
27.0463	40.2522
27.7497	40.7536
28.2439	41.5245
28.6526	42.0352
28.1489	41.34
28.9188	42.2433
29.4938	42.7872
29.0804	42.8487
29.3322	42.8723
29.5509	43.1608
29.4748	42.8203
29.874	43.5487
28.9791	42.6642
28.7074	41.8271
28.9416	42.3568
30.1083	43.5581
29.9865	43.0237
30.1317	42.7588
29.5179	42.562
28.8292	41.9761
28.6746	41.8845
28.1076	41.2391
27.9671	40.4243
28.1732	40.8958
28.7495	40.7768
28.787	40.8775
28.2435	41.1521
26.7254	40.1863
26.7489	40.1817
26.032	39.2479
25.8446	38.7352
25.8446	38.7352
25.4885	38.7718
25.0434	38.0669
25.2683	38.2683
25.0996	38.2591
25.0762	37.5908
23.4222	35.6682
23.2208	35.6728
22.771	35.0548
23.5909	35.0594
24.5093	36.7302
24.4577	36.9225
24.7388	37.2841
25.4791	38.4285
25.1184	37.9616
23.6706	36.039
23.516	35.8513
23.7971	35.9475
23.8205	36.4647
24.1063	36.7073
24.87	37.4672
24.0173	36.657
24.0173	36.657
24.0173	36.657
23.872	36.3182
24.1157	36.9545
24.1579	36.5517
25.704	37.6961
26.3694	38.4697
26.4162	38.6711
26.0882	37.4947
27.1518	39.138
28.0889	40.2732
28.5809	40.5204
28.1639	40.026
28.6933	40.4289
28.9791	40.644
28.9041	40.8408
27.6063	39.2341
27.775	39.3852
27.9577	40.0398
26.8613	38.9091
26.8473	38.7901
27.5594	39.463
27.3392	39.5088
26.4256	38.1492
27.9483	39.9986
27.9436	39.9436
27.4376	38.9091
28.7402	40.763
29.1946	41.7701
28.5762	41.5458
28.1029	42.118
28.4918	42.80
29.5179	41.9715
30.6096	42.1454
29.5695	40.969
29.9396	40.8271
29.1009	39.8841
29.5179	40.6165
30.6003	41.6785
30.1036	40.9187
31.617	42.8046
31.1812	42.3057
30.9423	42.3011
31.4717	43.2532
31.9169	43.6377
31.6029	42.7222
31.036	42.1638
30.3051	41.3032
31.3921	42.3835
31.8185	42.5254
31.1485	42.3285
30.7174	41.7701
30.4925	40.4746
31.3827	40.493
31.9918	41.7792
30.8252	41.9944
30.6424	41.7243
30.127	41.7838
29.129	41.8342
28.2341	41.3901
27.4845	40.6349
27.7141	40.7035
27.9718	40.7035
26.5568	38.9869
26.5568	38.9869
26.3787	38.7581
27.0815	39.7651
26.8473	39.7422
26.8473	39.7422
26.8473	39.7422
27.0581	39.9665
27.6297	40.7768
27.878	40.7951
27.878	40.1542
27.7281	40.1405
27.4048	40.2091
27.2971	39.5637
27.6672	39.5134
27.4142	39.5271
27.0019	39.5454
27.4329	40.3098
26.8238	40.2229
26.4209	39.7148
26.7161	39.4859
26.1819	38.9732
26.0554	39.3165
26.0648	39.2112
25.4416	38.4376
25.3245	38.5521
24.7763	38.2866
25.4276	39.0007
25.1512	38.3735
24.9591	38.0165
24.603	37.6091
24.1625	37.6091
22.8975	35.9383
23.5581	36.895
23.4222	36.689
23.7502	37.0781
23.3379	36.1946
23.0708	36.1214
23.4222	36.6661
23.0427	36.1992
23.7362	35.8147
23.2114	35.3753
23.7924	35.6728
23.4316	35.6774
22.9818	35.5309
23.4738	36.0665
22.8647	35.6957
23.0896	35.8193
23.3192	36.277
23.5909	36.8858
23.8299	36.6615
24.3734	37.4443
24.4577	37.3436
25.0902	38.2454
24.4718	38.2271
23.694	37.2566
22.8131	35.7094
22.4664	35.2013
22.3446	35.5172
21.3091	34.5101
21.4872	34.8397
21.6887	35.3981
22.2556	36.0619
21.4544	34.8305
21.0889	34.6154
21.1592	34.5009
21.5059	35.0365
20.7094	33.8555
21.356	34.6932
21.014	34.1805
22.4477	36.1717
21.9323	35.7643
22.2978	36.3137
22.0729	35.627
22.5836	36.1855
22.5836	36.1946
23.455	36.7989
23.1927	36.6112
22.4196	35.0731
23.1739	35.6316
23.1083	35.714
22.8694	34.9404
22.949	34.5833
21.4825	34.0066
19.9363	32.2442
19.4537	31.5942
19.6974	31.9238
19.7255	31.6354
19.1773	30.9808
19.5381	31.4065
19.6739	31.6125
19.6599	31.9513
19.2757	31.2921
19.4397	31.8368
19.9129	32.0565
20.2128	32.2488
19.4631	31.4798
20.194	32.0428
19.6318	31.6079
19.0602	30.9442
18.9852	30.9534
18.9899	30.8984
18.8071	30.8298
18.615	31.1456
18.3714	30.9717
18.1746	30.7886
17.7342	30.3949
17.3594	29.2963
15.7429	26.9617
16.9658	28.1107
16.8768	27.6209
17.5093	28.5501
16.8674	27.6346
15.9022	26.3987
14.6043	24.3159
14.431	24.2244
14.6559	24.6775
15.3587	26.1057
16.0568	27.6529
16.3192	27.3234
16.277	26.9526
16.099	27.0075
16.099	27.2547
16.1224	27.1448
16.4832	27.4103
16.4457	27.0167
16.4082	26.7191
16.4223	26.7329
17.4203	27.8315
17.6592	28.3991
17.4905	28.5822
17.7576	28.9759
17.2516	27.772
15.6867	25.3138
16.0147	25.9593
15.4618	25.1811
15.6914	25.4328
16.6753	26.916
16.6238	26.742
16.844	27.1174
16.3754	26.4857
15.9444	25.7899
16.6612	26.9846
15.8647	25.8814
15.7195	25.648
15.7476	25.7075
15.8975	25.6205
16.4129	26.0508
16.6097	26.5452
16.6003	26.1652
16.1084	25.1032
15.4852	24.5219
14.9604	23.7208
15.0495	23.5515
14.9136	22.8465
15.0682	22.9564
15.1338	22.9739
